Designator,Mid X,Mid Y,Rotation,Layer
C1,25.6,-46.8,135.0,top
C10,33.25,-41.0,135.0,top
C2,32.75,-51.0,225.0,top
C3,36.0,-43.75,135.0,top
C4,31.75,-39.5,135.0,top
C5,33.25,-33.25,0.0,top
C6,27.35,-33.75,270.0,top
C7,28.1,-51.2,270.0,top
C8,25.5,-48.4,180.0,top
C9,27.5,-41.0,90.0,top
D1,25.0,-39.0,90.0,top
F1,25.0,-34.0,270.0,top
J1,30.0,-25.6,180.0,top
R1,33.75,-34.75,0.0,top
R2,27.5,-37.99,90.0,top
R3,35.5,-32.25,180.0,top
R4,29.75,-36.3375,270.0,top
R5,31.25,-36.3375,90.0,top
R6,33.25,-32.25,180.0,top
U1,31.1,-45.7,315.0,top
U2,30.5,-33.8375,270.0,top
X1,25.8,-51.1,90.0,top
